code,class,land_use,descriptive_name,min_lot,min_lot_wid,max_units_lot,max_units_acre,max_build_cov,max_imperv,max_height,front_yard,street_yard,interior_yard,rear_yard,density,far,min_site_area_unit,min_site_area_build
LA,base,res,Lake Austin Residence,,,,,,,,,,,,,,,
RR,base,res,Rural Residence,43560,100,1,,20,25,35,40,25,10,20,,,,
SF-1,base,res,Single Family—Large Lot,10000,60,1,,35,40,35,25,15,5,10,,,,
SF-2,base,res,Single Family—Standard Lot,5750,50,1,,40,45,35,25,15,5,10,,,,
SF-3,base,res,Family Residence,5750,50,1,,40,45,35,25,15,5,10,,,,
SF-4A,base,res,Single Family—Small Lot,3600,40,1,,55,65,35,15,10,,,,,,
SF-4B,base,res,Single Family—Condominium,43560,40,,,40,60,30,25,15,,15,,,3600,2800
SF-5,base,res,Urban Family Residence,5750,50,,,40,55,35,25,15,5,10,,,,
SF-6,base,res,Townhouse & Condominium,5750,50,,,40,55,35,25,15,5,10,,,,
MF-1,base,res,Multifamily —Limited Density,8000,50,,17,45,55,40,25,15,5,10,,,,
MF-2,base,res,Multifamily—Low Density,8000,50,,23,50,60,40,25,15,5,10,,,,
MF-3,base,res,Multifamily—Medium Density,8000,50,,36,55,65,40,25,15,5,10,,0.75,,
MF-4,base,res,Multifamily—Moderate Density,8000,50,,54,60,70,60,15,15,5,10,,0.75,,
MF-5,base,res,Multifamily—High Density Special Purpose,8000,50,,54,60,70,60,15,15,5,10,,1,,
MF-6,base,res,Multifamily—Highest Density,8000,50,,,70,80,90,15,15,5,10,,,,
MH,base,res,Mobile Home Residenc,90000,,,,,,35,,,,,,,,
NO,base,com,Neighborhood Office,5750,50,,,35,60,35,25,15,5,5,,0.35,,
LO,base,com,Limited Office,5750,50,,,50,70,40,25,15,5,5,,0.7,,
GO,base,com,General Office,5750,50,,,60,80,60,15,15,5,5,,1,,
CR,base,com,Commercial Recreation,20000,100,,,25,60,40,50,20,20,20,,0.25,,
LR,base,com,Neighborhood Commercial,5750,50,,,50,80,40,25,15,,,,0.5,,
GR,base,com,Community Commercial,5750,50,,,75,90,60,10,10,,,,1,,
L,base,com,Lake Commercial,5750,50,,,50,50,200,,,,,,8,,
CBD,base,com,Central Business District,,,,,100,100,,,,,,,8,,
DMU,base,com,Downtown Mixed Use,,,,,100,100,120,,,,,,5,,
W/LO,base,com,Warehouse/limited Office,43560,100,,,,70,25,25,25,5,25,,0.25,,
CS,base,com,General Commercial Services,5750,50,,,95,95,60,10,10,,,,2,,
CS-1,base,com,Commercial-Liquor Sales,5750,50,,,95,95,60,10,10,,,,2,,
CH,base,com,Commercial Highway Serv,20000,50,,,85,85,,50,50,25,25,,3,,
IP,base,ind,Industrial Park,43560,100,,,50,80,60,25,25,50,50,,1,,
LI,base,ind,Limited Industrial Services,5750,50,,,75,80,60,,,,,,1,,
MI,base,ind,Major Industry,202342,250,,,75,80,120,,,50,50,,1,,
R&D,base,ind,Research & Development,20234,100,,,40,50,45,75,100,100,50,,0.25,,
P,base,spec,Public,,,,,,,,,,,,,,,
PUD,base,spec,Planned Unit Development,,,,,,,,,,,,,,,
TN,base,spec,Traditional Neighborhood,,,,,,,,,,,,,,161874,1011714
DR,base,spec,DevelopmentReserve,,,,,,,,,,,,,,,
AV,base,spec,Aviation Services,,,,,,,,,,,,,,,
AG,base,spec,Agricultural,10,,,,,,60,100,100,100,100,,,,
-CO,comb,,Conditional Overlay Combining District,,,,,,,,,,,,,,,
-H,comb,,Historic Combining District,,,,,,,,,,,,,,,
-MU,comb,,Mixed Use Combining District,,,,,,,,,,,,,,,
-NP,comb,,Neighborhood Plan Combining District,,,,,,,,,,,,,,,
-PDA,comb,,Planned Development Area,,,,,,,,,,,,,,,
-V,comb,,Vertical Mixed Use Building,,,,,,,,,,,,,,,
