,front,side,inv_density,far,height,coverage
A(A),50,20,130680,,24,10
R-1ac(A),40,10,43650,,36,40
R-1/2ac(A),40,10,21825,,36,40
R-16(A),35,10,16000,,30,40
R-13(A),30,8,13000,,30,40
R-10(A),30,6,10000,,30,45
R-7.5(A),25,5,7500,,30,45
R-5(A),20,5,5000,,30,45
D(A),25,5,3000,,36,60
TH-1(A),0,0,7275,,36,60
TH-2(A),0,0,10912,,36,60
TH-3(A),0,0,14550,,36,60
CH,0,0,21825,,36,60
MF-1(A),15,15,1800,,36,60
MF-2(A),15,15,1200,,36,60
MF-3(A),15,10,550,,90,60
MF-4(A),15,10,325,,240,80
MH(A),20,10,4000,,24,20
NO(A),15,20,,0.5,30,50
LO-1,15,20,,1,70,80
LO-2,15,20,,1.5,95,80
LO-3,15,20,,1.75,115,80
MO-1,15,20,,2,135,80
MO-2,15,20,,3,160,80
GO(A),15,20,,4,270,80
NS(A),15,20,,0.5,30,40
CR,15,20,,0.75,54,60
RR,15,20,,1.5,70,80
CS,15,20,,0.75,45,80
LI,15,30,,1,70,80
IR,15,30,,2,200,80
IM,15,0,,2,110,80
CA-1(A),0,0,,20,,100
CA-2(A),0,0,,20,,100
MU-1,15,20,,1,90,80
MU-2,15,20,,2,135,80
MU-3,15,20,,4,270,80
MC-1,15,20,,1,70,80
MC-2,15,20,,1,90,80
MC-3,15,20,,1.5,115,80
MC-4,15,20,,2,135,80
UC-1,0,10,4365,2,30,80
UC-2,0,10,1247,3.6,40,80
UC-3,0,10,970,4.5,55,80
P(A),,,,,,
